entrez_gene_id	status	symbol	type_of_gene	description
10097	imputed	ACTR2	protein-coding	ARP2 actin-related protein 2 homolog (yeast)
10098	imputed	TSPAN5	protein-coding	tetraspanin 5
10099	measured	TSPAN3	protein-coding	tetraspanin 3
101	imputed	ADAM8	protein-coding	ADAM metallopeptidase domain 8
10101	imputed	NUBP2	protein-coding	nucleotide binding protein 2
10102	imputed	TSFM	protein-coding	Ts translation elongation factor, mitochondrial
10103	imputed	TSPAN1	protein-coding	tetraspanin 1
10105	imputed	PPIF	protein-coding	peptidylprolyl isomerase F
10106	imputed	CTDSP2	protein-coding	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2
10109	imputed	ARPC2	protein-coding	actin related protein 2/3 complex, subunit 2, 34kDa
10111	imputed	RAD50	protein-coding	RAD50 homolog (S. cerevisiae)
10112	measured	KIF20A	protein-coding	kinesin family member 20A
10113	imputed	PREB	protein-coding	prolactin regulatory element binding
10114	imputed	HIPK3	protein-coding	homeodomain interacting protein kinase 3
10116	imputed	FEM1B	protein-coding	fem-1 homolog b (C. elegans)
10120	imputed	ACTR1B	protein-coding	ARP1 actin-related protein 1 homolog B, centractin beta (yeast)
10121	imputed	ACTR1A	protein-coding	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)
10123	measured	ARL4C	protein-coding	ADP-ribosylation factor-like 4C
10124	imputed	ARL4A	protein-coding	ADP-ribosylation factor-like 4A
10126	imputed	DNAL4	protein-coding	dynein, axonemal, light chain 4
10127	imputed	ZNF263	protein-coding	zinc finger protein 263
10128	imputed	LRPPRC	protein-coding	leucine-rich pentatricopeptide repeat containing
10130	imputed	PDIA6	protein-coding	protein disulfide isomerase family A, member 6
10131	measured	TRAP1	protein-coding	TNF receptor-associated protein 1
10133	imputed	OPTN	protein-coding	optineurin
10134	imputed	BCAP31	protein-coding	B-cell receptor-associated protein 31
10135	imputed	NAMPT	protein-coding	nicotinamide phosphoribosyltransferase
10137	imputed	RBM12	protein-coding	RNA binding motif protein 12
10138	imputed	YAF2	protein-coding	YY1 associated factor 2
10139	imputed	ARFRP1	protein-coding	ADP-ribosylation factor related protein 1
10140	imputed	TOB1	protein-coding	transducer of ERBB2, 1
10142	imputed	AKAP9	protein-coding	A kinase (PRKA) anchor protein 9
10144	imputed	FAM13A	protein-coding	family with sequence similarity 13, member A
10146	measured	G3BP1	protein-coding	GTPase activating protein (SH3 domain) binding protein 1
10147	imputed	SUGP2	protein-coding	SURP and G patch domain containing 2
10148	imputed	EBI3	protein-coding	Epstein-Barr virus induced 3
10149	imputed	ADGRG2	protein-coding	adhesion G protein-coupled receptor G2
1015	imputed	CDH17	protein-coding	cadherin 17, LI cadherin (liver-intestine)
10150	measured	MBNL2	protein-coding	muscleblind-like splicing regulator 2
10152	imputed	ABI2	protein-coding	abl-interactor 2
10153	measured	CEBPZ	protein-coding	CCAAT/enhancer binding protein (C/EBP), zeta
10155	imputed	TRIM28	protein-coding	tripartite motif containing 28
10156	imputed	RASA4	protein-coding	RAS p21 protein activator 4
10157	imputed	AASS	protein-coding	aminoadipate-semialdehyde synthase
10158	imputed	PDZK1IP1	protein-coding	PDZK1 interacting protein 1
10159	imputed	ATP6AP2	protein-coding	ATPase, H+ transporting, lysosomal accessory protein 2
10160	imputed	FARP1	protein-coding	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)
10162	imputed	LPCAT3	protein-coding	lysophosphatidylcholine acyltransferase 3
10163	imputed	WASF2	protein-coding	WAS protein family, member 2
10165	measured	SLC25A13	protein-coding	solute carrier family 25 (aspartate/glutamate carrier), member 13
10166	imputed	SLC25A15	protein-coding	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15
10169	imputed	SERF2	protein-coding	small EDRK-rich factor 2
1017	measured	CDK2	protein-coding	cyclin-dependent kinase 2
10171	imputed	RCL1	protein-coding	RNA terminal phosphate cyclase-like 1
10174	measured	SORBS3	protein-coding	sorbin and SH3 domain containing 3
10175	imputed	CNIH1	protein-coding	cornichon family AMPA receptor auxiliary protein 1
10179	imputed	RBM7	protein-coding	RNA binding motif protein 7
10180	measured	RBM6	protein-coding	RNA binding motif protein 6
10181	imputed	RBM5	protein-coding	RNA binding motif protein 5
10184	imputed	LHFPL2	protein-coding	lipoma HMGIC fusion partner-like 2
10186	imputed	LHFP	protein-coding	lipoma HMGIC fusion partner
10188	imputed	TNK2	protein-coding	tyrosine kinase, non-receptor, 2
1019	measured	CDK4	protein-coding	cyclin-dependent kinase 4
10190	measured	TXNDC9	protein-coding	thioredoxin domain containing 9
10193	imputed	RNF41	protein-coding	ring finger protein 41, E3 ubiquitin protein ligase
10195	imputed	ALG3	protein-coding	ALG3, alpha-1,3- mannosyltransferase
10196	imputed	PRMT3	protein-coding	protein arginine methyltransferase 3
10197	imputed	PSME3	protein-coding	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)
10198	imputed	MPHOSPH9	protein-coding	M-phase phosphoprotein 9
10199	imputed	MPHOSPH10	protein-coding	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)
102	measured	ADAM10	protein-coding	ADAM metallopeptidase domain 10
1020	imputed	CDK5	protein-coding	cyclin-dependent kinase 5
10200	imputed	MPHOSPH6	protein-coding	M-phase phosphoprotein 6
10202	imputed	DHRS2	protein-coding	dehydrogenase/reductase (SDR family) member 2
10204	imputed	NUTF2	protein-coding	nuclear transport factor 2
10206	measured	TRIM13	protein-coding	tripartite motif containing 13
10208	imputed	USPL1	protein-coding	ubiquitin specific peptidase like 1
10209	imputed	EIF1	protein-coding	eukaryotic translation initiation factor 1
1021	measured	CDK6	protein-coding	cyclin-dependent kinase 6
10210	imputed	TOPORS	protein-coding	topoisomerase I binding, arginine/serine-rich, E3 ubiquitin protein ligase
10211	imputed	FLOT1	protein-coding	flotillin 1
10212	imputed	DDX39A	protein-coding	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A
10213	imputed	PSMD14	protein-coding	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14
10217	imputed	CTDSPL	protein-coding	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
1022	measured	CDK7	protein-coding	cyclin-dependent kinase 7
10220	imputed	GDF11	protein-coding	growth differentiation factor 11
10221	measured	TRIB1	protein-coding	tribbles pseudokinase 1
10224	imputed	ZNF443	protein-coding	zinc finger protein 443
10226	imputed	PLIN3	protein-coding	perilipin 3
10227	measured	MFSD10	protein-coding	major facilitator superfamily domain containing 10
10228	imputed	STX6	protein-coding	syntaxin 6
10236	imputed	HNRNPR	protein-coding	heterogeneous nuclear ribonucleoprotein R
10237	measured	SLC35B1	protein-coding	solute carrier family 35, member B1
10238	imputed	DCAF7	protein-coding	DDB1 and CUL4 associated factor 7
10239	imputed	AP3S2	protein-coding	adaptor-related protein complex 3, sigma 2 subunit
1024	imputed	CDK8	protein-coding	cyclin-dependent kinase 8
10240	imputed	MRPS31	protein-coding	mitochondrial ribosomal protein S31
10241	imputed	CALCOCO2	protein-coding	calcium binding and coiled-coil domain 2
10243	imputed	GPHN	protein-coding	gephyrin
10244	imputed	RABEPK	protein-coding	Rab9 effector protein with kelch motifs
10245	measured	TIMM17B	protein-coding	translocase of inner mitochondrial membrane 17 homolog B (yeast)
10247	imputed	HRSP12	protein-coding	heat-responsive protein 12
10248	imputed	POP7	protein-coding	processing of precursor 7, ribonuclease P/MRP subunit (S. cerevisiae)
1025	imputed	CDK9	protein-coding	cyclin-dependent kinase 9
10250	imputed	SRRM1	protein-coding	serine/arginine repetitive matrix 1
10253	imputed	SPRY2	protein-coding	sprouty homolog 2 (Drosophila)
10254	imputed	STAM2	protein-coding	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2
10257	imputed	ABCC4	protein-coding	ATP-binding cassette, sub-family C (CFTR/MRP), member 4
1026	measured	CDKN1A	protein-coding	cyclin-dependent kinase inhibitor 1A (p21, Cip1)
10262	imputed	SF3B4	protein-coding	splicing factor 3b, subunit 4, 49kDa
10263	imputed	CDK2AP2	protein-coding	cyclin-dependent kinase 2 associated protein 2
10265	imputed	IRX5	protein-coding	iroquois homeobox 5
10267	imputed	RAMP1	protein-coding	receptor (G protein-coupled) activity modifying protein 1
10268	imputed	RAMP3	protein-coding	receptor (G protein-coupled) activity modifying protein 3
10269	imputed	ZMPSTE24	protein-coding	zinc metallopeptidase STE24
1027	measured	CDKN1B	protein-coding	cyclin-dependent kinase inhibitor 1B (p27, Kip1)
10270	measured	AKAP8	protein-coding	A kinase (PRKA) anchor protein 8
10272	imputed	FSTL3	protein-coding	follistatin-like 3 (secreted glycoprotein)
10273	measured	STUB1	protein-coding	STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase
10274	imputed	STAG1	protein-coding	stromal antigen 1
10276	measured	NET1	protein-coding	neuroepithelial cell transforming 1
10277	imputed	UBE4B	protein-coding	ubiquitination factor E4B
10278	imputed	EFS	protein-coding	embryonal Fyn-associated substrate
1028	imputed	CDKN1C	protein-coding	cyclin-dependent kinase inhibitor 1C (p57, Kip2)
10280	imputed	SIGMAR1	protein-coding	sigma non-opioid intracellular receptor 1
10282	imputed	BET1	protein-coding	Bet1 golgi vesicular membrane trafficking protein
10284	imputed	SAP18	protein-coding	Sin3A-associated protein, 18kDa
10285	measured	SMNDC1	protein-coding	survival motor neuron domain containing 1
10286	imputed	BCAS2	protein-coding	breast carcinoma amplified sequence 2
10287	imputed	RGS19	protein-coding	regulator of G-protein signaling 19
10289	imputed	EIF1B	protein-coding	eukaryotic translation initiation factor 1B
1029	measured	CDKN2A	protein-coding	cyclin-dependent kinase inhibitor 2A
10291	imputed	SF3A1	protein-coding	splicing factor 3a, subunit 1, 120kDa
10294	imputed	DNAJA2	protein-coding	DnaJ (Hsp40) homolog, subfamily A, member 2
10295	imputed	BCKDK	protein-coding	branched chain ketoacid dehydrogenase kinase
10296	imputed	MAEA	protein-coding	macrophage erythroblast attacher
10298	measured	PAK4	protein-coding	p21 protein (Cdc42/Rac)-activated kinase 4
10299	imputed	MARCH6	protein-coding	membrane-associated ring finger (C3HC4) 6, E3 ubiquitin protein ligase
103	imputed	ADAR	protein-coding	adenosine deaminase, RNA-specific
1030	imputed	CDKN2B	protein-coding	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)
10300	imputed	KATNB1	protein-coding	katanin p80 (WD repeat containing) subunit B 1
10301	imputed	DLEU1	ncRNA	deleted in lymphocytic leukemia 1 (non-protein coding)
10302	imputed	SNAPC5	protein-coding	small nuclear RNA activating complex, polypeptide 5, 19kDa
10308	imputed	ZNF267	protein-coding	zinc finger protein 267
10309	imputed	CCNO	protein-coding	cyclin O
1031	imputed	CDKN2C	protein-coding	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)
10311	imputed	DSCR3	protein-coding	Down syndrome critical region 3
10313	imputed	RTN3	protein-coding	reticulon 3
10314	imputed	LANCL1	protein-coding	LanC lantibiotic synthetase component C-like 1 (bacterial)
10318	measured	TNIP1	protein-coding	TNFAIP3 interacting protein 1
1032	imputed	CDKN2D	protein-coding	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)
10320	measured	IKZF1	protein-coding	IKAROS family zinc finger 1 (Ikaros)
10321	imputed	CRISP3	protein-coding	cysteine-rich secretory protein 3
10322	imputed	SMYD5	protein-coding	SMYD family member 5
10327	imputed	AKR1A1	protein-coding	aldo-keto reductase family 1, member A1 (aldehyde reductase)
10328	imputed	EMC8	protein-coding	ER membrane protein complex subunit 8
10329	measured	TMEM5	protein-coding	transmembrane protein 5
1033	imputed	CDKN3	protein-coding	cyclin-dependent kinase inhibitor 3
10330	imputed	CNPY2	protein-coding	canopy FGF signaling regulator 2
10342	imputed	TFG	protein-coding	TRK-fused gene
10346	imputed	TRIM22	protein-coding	tripartite motif containing 22
10347	imputed	ABCA7	protein-coding	ATP-binding cassette, sub-family A (ABC1), member 7
10351	imputed	ABCA8	protein-coding	ATP-binding cassette, sub-family A (ABC1), member 8
10352	imputed	WARS2	protein-coding	tryptophanyl tRNA synthetase 2, mitochondrial
10360	imputed	NPM3	protein-coding	nucleophosmin/nucleoplasmin 3
10362	measured	HMG20B	protein-coding	high mobility group 20B
10363	imputed	HMG20A	protein-coding	high mobility group 20A
10365	imputed	KLF2	protein-coding	Kruppel-like factor 2
10367	imputed	MICU1	protein-coding	mitochondrial calcium uptake 1
10370	imputed	CITED2	protein-coding	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2
10371	imputed	SEMA3A	protein-coding	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A
10376	imputed	TUBA1B	protein-coding	tubulin, alpha 1b
10379	imputed	IRF9	protein-coding	interferon regulatory factor 9
10381	imputed	TUBB3	protein-coding	tubulin, beta 3 class III
10383	imputed	TUBB4B	protein-coding	tubulin, beta 4B class IVb
10384	imputed	BTN3A3	protein-coding	butyrophilin, subfamily 3, member A3
10385	imputed	BTN2A2	protein-coding	butyrophilin, subfamily 2, member A2
10388	imputed	SYCP2	protein-coding	synaptonemal complex protein 2
10389	imputed	SCML2	protein-coding	sex comb on midleg-like 2 (Drosophila)
1039	imputed	CDR2	protein-coding	cerebellar degeneration-related protein 2, 62kDa
10390	imputed	CEPT1	protein-coding	choline/ethanolamine phosphotransferase 1
10391	imputed	CORO2B	protein-coding	coronin, actin binding protein, 2B
103910	imputed	MYL12B	protein-coding	myosin, light chain 12B, regulatory
10393	imputed	ANAPC10	protein-coding	anaphase promoting complex subunit 10
10395	imputed	DLC1	protein-coding	DLC1 Rho GTPase activating protein
10396	imputed	ATP8A1	protein-coding	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1
10397	imputed	NDRG1	protein-coding	N-myc downstream regulated 1
10398	measured	MYL9	protein-coding	myosin, light chain 9, regulatory
10399	imputed	GNB2L1	protein-coding	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1
104	imputed	ADARB1	protein-coding	adenosine deaminase, RNA-specific, B1
1040	imputed	CDS1	protein-coding	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1
10400	imputed	PEMT	protein-coding	phosphatidylethanolamine N-methyltransferase
10401	imputed	PIAS3	protein-coding	protein inhibitor of activated STAT, 3
10402	imputed	ST3GAL6	protein-coding	ST3 beta-galactoside alpha-2,3-sialyltransferase 6
10403	imputed	NDC80	protein-coding	NDC80 kinetochore complex component
10406	imputed	WFDC2	protein-coding	WAP four-disulfide core domain 2
10409	imputed	BASP1	protein-coding	brain abundant, membrane attached signal protein 1
10410	imputed	IFITM3	protein-coding	interferon induced transmembrane protein 3
10412	imputed	NSA2	protein-coding	NSA2 ribosome biogenesis homolog (S. cerevisiae)
10413	imputed	YAP1	protein-coding	Yes-associated protein 1
10417	imputed	SPON2	protein-coding	spondin 2, extracellular matrix protein
10419	imputed	PRMT5	protein-coding	protein arginine methyltransferase 5
10421	imputed	CD2BP2	protein-coding	CD2 (cytoplasmic tail) binding protein 2
10422	imputed	UBAC1	protein-coding	UBA domain containing 1
10423	imputed	CDIPT	protein-coding	CDP-diacylglycerol--inositol 3-phosphatidyltransferase
10424	imputed	PGRMC2	protein-coding	progesterone receptor membrane component 2
10425	imputed	ARIH2	protein-coding	ariadne RBR E3 ubiquitin protein ligase 2
10426	imputed	TUBGCP3	protein-coding	tubulin, gamma complex associated protein 3
10427	imputed	SEC24B	protein-coding	SEC24 family member B
10428	imputed	CFDP1	protein-coding	craniofacial development protein 1
10430	imputed	TMEM147	protein-coding	transmembrane protein 147
10432	imputed	RBM14	protein-coding	RNA binding motif protein 14
10434	measured	LYPLA1	protein-coding	lysophospholipase I
10435	imputed	CDC42EP2	protein-coding	CDC42 effector protein (Rho GTPase binding) 2
10436	imputed	EMG1	protein-coding	EMG1 N1-specific pseudouridine methyltransferase
10437	imputed	IFI30	protein-coding	interferon, gamma-inducible protein 30
10438	imputed	C1D	protein-coding	C1D nuclear receptor corepressor
10439	imputed	OLFM1	protein-coding	olfactomedin 1
10440	imputed	TIMM17A	protein-coding	translocase of inner mitochondrial membrane 17 homolog A (yeast)
10443	imputed	N4BP2L2	protein-coding	NEDD4 binding protein 2-like 2
10444	imputed	ZER1	protein-coding	zyg-11 related, cell cycle regulator
10445	imputed	MCRS1	protein-coding	microspherule protein 1
10447	imputed	FAM3C	protein-coding	family with sequence similarity 3, member C
10449	imputed	ACAA2	protein-coding	acetyl-CoA acyltransferase 2
10450	measured	PPIE	protein-coding	peptidylprolyl isomerase E (cyclophilin E)
10451	measured	VAV3	protein-coding	vav 3 guanine nucleotide exchange factor
10452	imputed	TOMM40	protein-coding	translocase of outer mitochondrial membrane 40 homolog (yeast)
10455	imputed	ECI2	protein-coding	enoyl-CoA delta isomerase 2
10456	imputed	HAX1	protein-coding	HCLS1 associated protein X-1
10458	imputed	BAIAP2	protein-coding	BAI1-associated protein 2
10460	imputed	TACC3	protein-coding	transforming, acidic coiled-coil containing protein 3
10461	imputed	MERTK	protein-coding	MER proto-oncogene, tyrosine kinase
10463	imputed	SLC30A9	protein-coding	solute carrier family 30 (zinc transporter), member 9
10465	imputed	PPIH	protein-coding	peptidylprolyl isomerase H (cyclophilin H)
10466	imputed	COG5	protein-coding	component of oligomeric golgi complex 5
10467	imputed	ZNHIT1	protein-coding	zinc finger, HIT-type containing 1
10468	imputed	FST	protein-coding	follistatin
10469	imputed	TIMM44	protein-coding	translocase of inner mitochondrial membrane 44 homolog (yeast)
1047	imputed	CLGN	protein-coding	calmegin
10471	imputed	PFDN6	protein-coding	prefoldin subunit 6
10472	imputed	ZBTB18	protein-coding	zinc finger and BTB domain containing 18
10473	imputed	HMGN4	protein-coding	high mobility group nucleosomal binding domain 4
10474	imputed	TADA3	protein-coding	transcriptional adaptor 3
10475	imputed	TRIM38	protein-coding	tripartite motif containing 38
10476	imputed	ATP5H	protein-coding	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d
10477	imputed	UBE2E3	protein-coding	ubiquitin-conjugating enzyme E2E 3
10478	imputed	SLC25A17	protein-coding	solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17
10479	imputed	SLC9A6	protein-coding	solute carrier family 9, subfamily A (NHE6, cation proton antiporter 6), member 6
1048	imputed	CEACAM5	protein-coding	carcinoembryonic antigen-related cell adhesion molecule 5
10480	imputed	EIF3M	protein-coding	eukaryotic translation initiation factor 3, subunit M
10482	imputed	NXF1	protein-coding	nuclear RNA export factor 1
10483	imputed	SEC23B	protein-coding	Sec23 homolog B (S. cerevisiae)
10484	imputed	SEC23A	protein-coding	Sec23 homolog A (S. cerevisiae)
10486	imputed	CAP2	protein-coding	CAP, adenylate cyclase-associated protein, 2 (yeast)
10487	imputed	CAP1	protein-coding	CAP, adenylate cyclase-associated protein 1 (yeast)
10488	imputed	CREB3	protein-coding	cAMP responsive element binding protein 3
10489	measured	LRRC41	protein-coding	leucine rich repeat containing 41
10490	imputed	VTI1B	protein-coding	vesicle transport through interaction with t-SNAREs 1B
10491	measured	CRTAP	protein-coding	cartilage associated protein
10492	imputed	SYNCRIP	protein-coding	synaptotagmin binding, cytoplasmic RNA interacting protein
10493	measured	VAT1	protein-coding	vesicle amine transport 1
10494	measured	STK25	protein-coding	serine/threonine kinase 25
10495	imputed	ENOX2	protein-coding	ecto-NOX disulfide-thiol exchanger 2
10497	imputed	UNC13B	protein-coding	unc-13 homolog B (C. elegans)
10498	imputed	CARM1	protein-coding	coactivator-associated arginine methyltransferase 1
10499	imputed	NCOA2	protein-coding	nuclear receptor coactivator 2
1050	measured	CEBPA	protein-coding	CCAAT/enhancer binding protein (C/EBP), alpha
10505	imputed	SEMA4F	protein-coding	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F
10507	imputed	SEMA4D	protein-coding	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D
1051	imputed	CEBPB	protein-coding	CCAAT/enhancer binding protein (C/EBP), beta
10512	imputed	SEMA3C	protein-coding	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
10513	measured	APPBP2	protein-coding	amyloid beta precursor protein (cytoplasmic tail) binding protein 2
10514	imputed	MYBBP1A	protein-coding	MYB binding protein (P160) 1a
10516	imputed	FBLN5	protein-coding	fibulin 5
10519	imputed	CIB1	protein-coding	calcium and integrin binding 1 (calmyrin)
1052	measured	CEBPD	protein-coding	CCAAT/enhancer binding protein (C/EBP), delta
10521	imputed	DDX17	protein-coding	DEAD (Asp-Glu-Ala-Asp) box helicase 17
10522	imputed	DEAF1	protein-coding	DEAF1 transcription factor
10523	measured	CHERP	protein-coding	calcium homeostasis endoplasmic reticulum protein
10524	imputed	KAT5	protein-coding	K(lysine) acetyltransferase 5
10525	measured	HYOU1	protein-coding	hypoxia up-regulated 1
10527	imputed	IPO7	protein-coding	importin 7
10528	imputed	NOP56	protein-coding	NOP56 ribonucleoprotein
10529	imputed	NEBL	protein-coding	nebulette
10531	imputed	PITRM1	protein-coding	pitrilysin metallopeptidase 1
10534	imputed	SSSCA1	protein-coding	Sjogren syndrome/scleroderma autoantigen 1
10535	imputed	RNASEH2A	protein-coding	ribonuclease H2, subunit A
10536	imputed	P3H3	protein-coding	prolyl 3-hydroxylase 3
10538	imputed	BATF	protein-coding	basic leucine zipper transcription factor, ATF-like
10539	imputed	GLRX3	protein-coding	glutaredoxin 3
1054	imputed	CEBPG	protein-coding	CCAAT/enhancer binding protein (C/EBP), gamma
10540	imputed	DCTN2	protein-coding	dynactin 2 (p50)
10541	imputed	ANP32B	protein-coding	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B
10542	imputed	LAMTOR5	protein-coding	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5
10544	imputed	PROCR	protein-coding	protein C receptor, endothelial
10548	imputed	TM9SF1	protein-coding	transmembrane 9 superfamily member 1
10549	imputed	PRDX4	protein-coding	peroxiredoxin 4
10550	imputed	ARL6IP5	protein-coding	ADP-ribosylation factor-like 6 interacting protein 5
10551	imputed	AGR2	protein-coding	anterior gradient 2
10552	imputed	ARPC1A	protein-coding	actin related protein 2/3 complex, subunit 1A, 41kDa
10553	imputed	HTATIP2	protein-coding	HIV-1 Tat interactive protein 2, 30kDa
10554	imputed	AGPAT1	protein-coding	1-acylglycerol-3-phosphate O-acyltransferase 1
10555	imputed	AGPAT2	protein-coding	1-acylglycerol-3-phosphate O-acyltransferase 2
10556	imputed	RPP30	protein-coding	ribonuclease P/MRP 30kDa subunit
10557	measured	RPP38	protein-coding	ribonuclease P/MRP 38kDa subunit
10558	imputed	SPTLC1	protein-coding	serine palmitoyltransferase, long chain base subunit 1
10559	measured	SLC35A1	protein-coding	solute carrier family 35 (CMP-sialic acid transporter), member A1
10560	imputed	SLC19A2	protein-coding	solute carrier family 19 (thiamine transporter), member 2
10561	imputed	IFI44	protein-coding	interferon-induced protein 44
10563	imputed	CXCL13	protein-coding	chemokine (C-X-C motif) ligand 13
