perturbagen	entrez_gene_id	z_score	symbol	status	direction	nlog10_bonferroni_pval
93	57211	4.531	ADGRG6	imputed	up	1.419
93	154	6.577	ADRB2	measured	up	7.328
93	51005	10.000	AMDHD2	measured	up	19.827
93	323	6.036	APBB2	measured	up	5.811
93	23647	-5.353	ARFIP2	measured	down	4.073
93	84159	6.949	ARID5B	measured	up	8.444
93	481	-4.606	ATP1B1	measured	down	2.396
93	9212	-5.192	AURKB	measured	down	3.691
93	665	-4.348	BNIP3L	measured	down	1.872
93	695	6.504	BTK	measured	up	7.116
93	114899	5.909	C1QTNF3	imputed	up	4.651
93	25966	8.361	C2CD2	measured	up	13.216
93	51531	5.572	C9orf156	imputed	up	3.787
93	23271	4.873	CAMSAP2	measured	up	2.969
93	124583	-4.902	CANT1	measured	down	3.033
93	22794	-5.191	CASC3	measured	down	3.689
93	843	7.520	CASP10	measured	up	10.271
93	54897	5.050	CASZ1	imputed	up	2.543
93	11007	-6.913	CCDC85B	measured	down	8.333
93	6347	4.230	CCL2	measured	up	1.641
93	891	-5.026	CCNB1	measured	down	3.310
93	1022	-4.782	CDK7	measured	down	2.770
93	1029	-4.428	CDKN2A	measured	down	2.031
93	1031	4.660	CDKN2C	imputed	up	1.688
93	1052	4.744	CEBPD	measured	up	2.688
93	8837	7.526	CFLAR	measured	up	10.291
93	79643	5.724	CHMP6	measured	up	4.992
93	63924	4.776	CIDEC	imputed	up	1.935
93	9076	5.932	CLDN1	imputed	up	4.712
93	4850	4.233	CNOT4	measured	up	1.647
93	91949	-4.139	COG7	measured	down	1.467
93	9276	-6.316	COPB2	measured	down	6.581
93	83716	4.487	CRISPLD2	imputed	up	1.329
93	1429	-5.091	CRYZ	measured	down	3.458
93	1465	4.614	CSRP1	measured	up	2.413
93	2920	9.219	CXCL2	measured	up	16.533
93	54205	-4.898	CYCS	measured	down	3.024
93	1616	9.800	DAXX	measured	up	18.958
93	79077	-4.499	DCTPP1	imputed	down	1.354
93	22898	4.570	DENND3	imputed	up	1.500
93	51635	-7.232	DHRS7	measured	down	9.332
93	10301	-4.596	DLEU1	imputed	down	1.554
93	3300	5.966	DNAJB2	measured	up	5.624
93	1870	7.877	E2F2	measured	up	11.484
93	10969	-5.742	EBNA1BP2	measured	down	5.039
93	1950	7.932	EGF	measured	up	11.676
93	60528	-5.253	ELAC2	measured	down	3.835
93	58478	-6.058	ENOPH1	measured	down	5.870
93	2033	4.729	EP300	imputed	up	1.834
93	2042	5.742	EPHA3	measured	up	5.039
93	2048	7.464	EPHB2	measured	up	10.086
93	9852	4.551	EPM2AIP1	imputed	up	1.460
93	2115	5.404	ETV1	measured	up	4.196
93	55199	5.061	FAM86C1	imputed	up	2.568
93	2176	4.646	FANCC	imputed	up	1.658
93	355	5.519	FAS	measured	up	4.477
93	2222	-4.431	FDFT1	measured	down	2.037
93	2342	4.813	FNTB	imputed	up	2.016
93	10818	4.188	FRS2	measured	up	1.560
93	8324	5.790	FZD7	measured	up	5.162
93	1647	-5.003	GADD45A	measured	down	3.258
93	2671	5.179	GFER	imputed	up	2.839
93	54438	8.046	GFOD1	measured	up	12.077
93	9945	4.912	GFPT2	imputed	up	2.233
93	2690	6.805	GHR	measured	up	8.005
93	2736	7.258	GLI2	measured	up	9.415
93	51053	-4.316	GMNN	measured	down	1.809
93	2770	9.996	GNAI1	measured	up	19.809
93	10007	-4.530	GNPDA1	measured	down	2.239
93	23131	4.057	GPATCH8	measured	up	1.313
93	2817	6.538	GPC1	measured	up	7.215
93	2852	8.909	GPER1	measured	up	15.298
93	2958	-6.526	GTF2A2	measured	down	7.180
93	51495	-5.095	HACD3	measured	down	3.467
93	26762	6.381	HAVCR1	imputed	up	5.942
93	50865	-5.583	HEBP1	measured	down	4.636
93	55008	4.537	HERC6	measured	up	2.253
93	8365	4.713	HIST1H4H	imputed	up	1.800
93	80201	4.888	HKDC1	imputed	up	2.180
93	3108	4.576	HLA-DMA	measured	up	2.334
93	10362	-5.281	HMG20B	measured	down	3.901
93	29911	8.309	HOOK2	measured	up	13.025
93	3251	-7.942	HPRT1	measured	down	11.711
93	3028	-5.354	HSD17B10	measured	down	4.075
93	51170	6.612	HSD17B11	measured	up	7.431
93	3329	-4.493	HSPD1	measured	down	2.163
93	55699	-5.063	IARS2	measured	down	3.394
93	3416	7.589	IDE	measured	up	10.501
93	10320	8.823	IKZF1	measured	up	14.963
93	3589	5.053	IL11	imputed	up	2.549
93	3600	4.920	IL15	imputed	up	2.251
93	3553	6.903	IL1B	measured	up	8.303
93	8821	5.634	INPP4B	measured	up	4.764
93	3663	5.922	IRF5	imputed	up	4.685
93	9270	-8.795	ITGB1BP1	measured	down	14.854
93	3693	4.363	ITGB5	measured	up	1.901
93	23338	9.669	JADE2	measured	up	18.399
93	221037	4.794	JMJD1C	imputed	up	1.974
93	23210	-5.852	JMJD6	measured	down	5.323
93	23510	4.679	KCTD2	imputed	up	1.728
93	55818	5.055	KDM3A	measured	up	3.376
93	9710	5.195	KIAA0355	measured	up	3.699
93	22889	-5.135	KIAA0907	measured	down	3.559
93	3801	5.726	KIFC3	imputed	up	4.176
93	23588	-5.646	KLHDC2	measured	down	4.794
93	9903	6.411	KLHL21	measured	up	6.850
93	3909	6.801	LAMA3	measured	up	7.993
93	51056	-4.689	LAP3	measured	down	2.571
93	3964	4.619	LGALS8	measured	up	2.424
93	8994	4.936	LIMD1	imputed	up	2.286
93	9926	-4.165	LPGAT1	measured	down	1.516
93	55604	9.783	LRRC16A	measured	up	18.885
93	11157	-4.170	LSM6	measured	down	1.526
93	10892	-4.508	MALT1	measured	down	2.194
93	10046	10.000	MAMLD1	measured	up	19.827
93	23139	4.305	MAST2	measured	up	1.787
93	57192	8.626	MCOLN1	measured	up	14.207
93	4208	8.287	MEF2C	measured	up	12.945
93	85377	4.573	MICALL1	measured	up	2.328
93	27030	4.590	MLH3	imputed	up	1.541
93	5891	7.454	MOK	measured	up	10.053
93	10200	-4.848	MPHOSPH6	imputed	down	2.092
93	6182	-4.202	MRPL12	measured	down	1.587
93	4522	-4.474	MTHFD1	imputed	down	1.303
93	10797	-5.054	MTHFD2	measured	down	3.374
93	4638	8.872	MYLK	measured	up	15.153
93	51079	-4.865	NDUFA13	imputed	down	2.129
93	29937	-5.768	NENF	measured	down	5.105
93	4846	5.941	NOS3	measured	up	5.557
93	51070	-10.000	NOSIP	measured	down	19.827
93	4857	5.471	NOVA1	imputed	up	3.537
93	2908	4.790	NR3C1	measured	up	2.788
93	54959	5.425	ODAM	imputed	up	3.425
93	79676	4.619	OGFOD2	imputed	up	1.602
93	9180	5.108	OSMR	imputed	up	2.675
93	54681	7.525	P4HTM	measured	up	10.288
93	5050	-5.689	PAFAH1B3	measured	down	4.903
93	56924	6.291	PAK6	measured	up	6.511
93	9924	-4.503	PAN2	measured	down	2.184
93	142	-4.865	PARP1	measured	down	2.951
93	7849	6.563	PAX8	measured	up	7.288
93	5111	-6.687	PCNA	measured	down	7.652
93	5163	4.737	PDK1	imputed	up	1.852
93	8800	6.114	PEX11A	measured	up	6.022
93	5223	-6.768	PGAM1	measured	down	7.894
93	8503	5.124	PIK3R3	measured	up	3.534
93	5300	-5.331	PIN1	measured	down	4.020
93	5366	-4.587	PMAIP1	measured	down	2.357
93	79983	5.275	POF1B	imputed	up	3.065
93	29954	5.435	POMT2	imputed	up	3.449
93	5467	4.136	PPARD	measured	up	1.461
93	5468	7.487	PPARG	measured	up	10.162
93	55012	-5.211	PPP2R3C	measured	down	3.736
93	5547	-4.921	PRCP	measured	down	3.075
93	5720	9.365	PSME1	measured	up	17.129
93	8624	-7.041	PSMG1	measured	down	8.729
93	5743	8.101	PTGS2	measured	up	12.273
93	5770	-4.194	PTPN1	measured	down	1.572
93	5777	4.349	PTPN6	measured	up	1.874
93	22827	-7.605	PUF60	measured	down	10.555
93	5836	-6.748	PYGL	measured	down	7.834
93	22841	4.661	RAB11FIP2	measured	up	2.512
93	81876	-4.492	RAB1B	imputed	down	1.339
93	5898	-4.056	RALA	measured	down	1.311
93	5971	10.000	RELB	measured	up	19.827
93	6094	4.679	ROM1	imputed	up	1.728
93	6118	-4.719	RPA2	measured	down	2.635
93	6119	-5.386	RPA3	measured	down	4.152
93	22934	-6.655	RPIA	measured	down	7.557
93	6184	-6.315	RPN1	measured	down	6.578
93	9252	4.907	RPS6KA5	imputed	up	2.222
93	6236	4.603	RRAD	imputed	up	1.568
93	23212	5.030	RRS1	measured	up	3.319
93	6284	-6.264	S100A13	measured	down	6.435
93	386627	4.641	SAP30L-AS1	imputed	up	1.648
93	51282	-5.489	SCAND1	measured	down	4.403
93	6390	-5.402	SDHB	measured	down	4.191
93	23410	6.245	SIRT3	measured	up	6.383
93	6509	5.798	SLC1A4	measured	up	5.183
93	54978	4.522	SLC35F6	imputed	up	1.401
93	4088	4.085	SMAD3	measured	up	1.365
93	8243	-4.118	SMC1A	measured	down	1.427
93	6616	9.501	SNAP25	measured	up	17.692
93	9552	-4.224	SPAG7	measured	down	1.629
93	6696	6.592	SPP1	measured	up	7.372
93	9517	5.753	SPTLC2	measured	up	5.067
93	23380	5.811	SRGAP2	imputed	up	4.395
93	63826	4.607	SRR	imputed	up	1.577
93	10610	6.184	ST6GALNAC2	measured	up	6.214
93	7982	4.317	ST7	measured	up	1.811
93	55620	6.917	STAP2	measured	up	8.346
93	6772	5.351	STAT1	measured	up	4.068
93	6774	5.411	STAT3	measured	up	4.213
93	6793	6.289	STK10	measured	up	6.505
93	9482	-4.546	STX8	imputed	down	1.450
93	6871	4.682	TADA2A	imputed	up	1.734
93	9519	-4.423	TBPL1	measured	down	2.021
93	79921	-5.925	TCEAL4	measured	down	5.515
93	10915	-4.412	TCERG1	measured	down	1.999
93	54386	-5.797	TERF2IP	measured	down	5.180
93	7043	7.421	TGFB3	measured	up	9.944
93	8914	-5.154	TIMELESS	measured	down	3.603
93	29928	5.538	TIMM22	measured	up	4.524
93	7099	4.303	TLR4	measured	up	1.783
93	375346	6.393	TMEM110	measured	up	6.798
93	23670	9.819	TMEM2	measured	up	19.040
93	23585	-5.128	TMEM50A	measured	down	3.543
93	55092	4.641	TMEM51	imputed	up	1.648
93	7148	5.323	TNXB	imputed	up	3.179
93	9697	8.373	TRAM2	measured	up	13.260
93	10131	-6.059	TRAP1	measured	down	5.873
93	80746	7.027	TSEN2	measured	up	8.685
93	25987	6.703	TSKU	measured	up	7.700
93	7296	-5.472	TXNRD1	measured	down	4.361
93	9690	-4.138	UBE3C	measured	down	1.465
93	29978	7.495	UBQLN2	measured	up	10.188
93	55148	5.942	UBR7	measured	up	5.560
93	23326	-4.280	USP22	measured	down	1.738
93	9712	5.691	USP6NL	measured	up	4.908
93	51160	6.192	VPS28	measured	up	6.236
93	23335	5.221	WDR7	measured	up	3.759
93	7485	-4.139	WRB	measured	down	1.467
93	10730	-5.884	YME1L1	measured	down	5.407
93	57178	4.878	ZMIZ1	measured	up	2.980
100	1021	4.193	CDK6	measured	up	1.570
100	29082	-6.379	CHMP4A	measured	down	6.759
100	1647	-5.140	GADD45A	measured	down	3.571
100	5927	5.307	KDM5A	measured	up	3.963
100	4016	4.145	LOXL1	measured	up	1.478
109	26227	-4.102	PHGDH	measured	down	1.397
109	55111	4.739	PLEKHJ1	measured	up	2.678
109	5696	-5.783	PSMB8	measured	down	5.144
109	27244	-4.150	SESN1	measured	down	1.488
115	3108	4.450	HLA-DMA	measured	up	2.076
115	10190	-5.729	TXNDC9	measured	down	5.005
128	10273	-4.957	STUB1	measured	down	3.155
128	51160	-4.652	VPS28	measured	down	2.493
135	1647	-4.226	GADD45A	measured	down	1.633
136	2920	4.699	CXCL2	measured	up	2.592
136	4312	5.301	MMP1	measured	up	3.948
136	5997	4.218	RGS2	measured	up	1.618
136	84617	-5.490	TUBB6	measured	down	4.406
154	23210	-4.072	JMJD6	measured	down	1.341
158	54205	-4.071	CYCS	measured	down	1.339
158	7018	4.603	TF	imputed	up	1.568
159	102	6.184	ADAM10	measured	up	6.214
159	55748	-4.167	CNDP2	measured	down	1.520
159	11325	4.277	DDX42	measured	up	1.732
159	55179	4.336	FAIM	measured	up	1.848
183	154	4.794	ADRB2	measured	up	2.796
183	178	5.364	AGL	measured	up	4.099
183	8312	4.966	AXIN1	measured	up	3.175
183	124583	-5.148	CANT1	measured	down	3.589
183	823	5.408	CAPN1	measured	up	4.205
183	991	-4.574	CDC20	measured	down	2.330
183	2109	-7.910	ETFB	measured	down	11.599
183	2582	-4.203	GALE	measured	down	1.589
183	2736	4.379	GLI2	measured	up	1.933
183	3315	-4.087	HSPB1	measured	down	1.369
183	3551	4.390	IKBKB	measured	up	1.955
183	9641	4.159	IKBKE	measured	up	1.505
183	8821	5.047	INPP4B	measured	up	3.358
183	55818	-4.685	KDM3A	measured	down	2.563
183	3930	-4.247	LBR	measured	down	1.674
183	4016	4.055	LOXL1	measured	up	1.310
183	4043	-4.142	LRPAP1	measured	down	1.473
183	4282	-5.509	MIF	measured	down	4.452
183	51021	-4.674	MRPS16	measured	down	2.539
183	5019	4.214	OXCT1	measured	up	1.610
183	5058	4.063	PAK1	measured	up	1.324
183	5111	-6.634	PCNA	measured	down	7.495
183	5331	4.491	PLCB3	measured	up	2.159
183	5588	4.665	PRKCQ	measured	up	2.520
183	5743	4.718	PTGS2	measured	up	2.633
183	22827	-4.801	PUF60	measured	down	2.811
183	22934	-5.023	RPIA	measured	down	3.303
183	58533	-4.566	SNX6	measured	down	2.313
183	23635	6.329	SSBP2	measured	up	6.617
183	8869	5.260	ST3GAL5	measured	up	3.851
183	80746	4.436	TSEN2	measured	up	2.048
183	200081	-4.129	TXLNA	measured	down	1.448
190	51382	-4.718	ATP6V1D	measured	down	2.633
190	1021	4.868	CDK6	measured	up	2.958
190	2697	-6.017	GJA1	imputed	down	4.938
190	5529	-5.355	PPP2R5E	measured	down	4.077
190	23378	5.613	RRP8	measured	up	4.711
191	9710	4.430	KIAA0355	measured	up	2.035
196	6714	4.903	SRC	measured	up	3.035
204	25966	4.312	C2CD2	measured	up	1.801
204	6461	-4.241	SHB	measured	down	1.662
207	102	4.253	ADAM10	measured	up	1.686
207	695	5.221	BTK	measured	up	3.759
207	8324	7.510	FZD7	measured	up	10.238
207	2770	4.886	GNAI1	measured	up	2.997
207	5331	6.689	PLCB3	measured	up	7.658
207	387	4.418	RHOA	measured	up	2.011
207	23635	6.229	SSBP2	measured	up	6.338
208	9093	-4.187	DNAJA3	measured	down	1.558
218	133	-6.273	ADM	imputed	down	5.639
218	7099	-4.761	TLR4	measured	down	2.725
219	695	5.035	BTK	measured	up	3.330
219	3945	-4.592	LDHB	imputed	down	1.545
219	6192	-6.191	RPS4Y1	imputed	down	5.411
221	30836	-4.423	DNTTIP2	measured	down	2.021
221	10320	5.135	IKZF1	measured	up	3.559
221	6915	5.299	TBXA2R	measured	up	3.944
222	9093	-4.438	DNAJA3	measured	down	2.052
226	9903	4.764	KLHL21	measured	up	2.731
238	10551	6.208	AGR2	imputed	up	5.458
238	392	-4.130	ARHGAP1	measured	down	1.450
238	6347	7.029	CCL2	measured	up	8.692
238	4850	4.239	CNOT4	measured	up	1.658
238	1848	4.486	DUSP6	measured	up	2.149
238	1958	10.550	EGR1	measured	up	22.304
238	2354	5.788	FOSB	imputed	up	4.335
238	8061	4.974	FOSL1	measured	up	3.193
238	4616	5.318	GADD45B	measured	up	3.989
238	3303	5.114	HSPA1A	measured	up	3.511
238	9592	4.652	IER2	imputed	up	1.671
238	3726	4.728	JUNB	imputed	up	1.832
238	23588	-4.233	KLHDC2	measured	down	1.647
238	23645	4.672	PPP1R15A	imputed	up	1.713
238	23212	4.639	RRS1	measured	up	2.465
238	7538	10.625	ZFP36	measured	up	22.652
259	642	5.398	BLMH	measured	up	4.181
259	835	4.887	CASP2	measured	up	2.999
259	991	-5.105	CDC20	measured	down	3.490
259	2778	-4.179	GNAS	measured	down	1.543
259	2852	4.818	GPER1	measured	up	2.848
259	23522	5.654	KAT6B	measured	up	4.814
259	4208	4.397	MEF2C	measured	up	1.969
259	5796	-4.318	PTPRK	measured	down	1.813
259	6812	5.657	STXBP1	measured	up	4.822
259	10190	-5.505	TXNDC9	measured	down	4.442
259	9712	5.310	USP6NL	measured	up	3.970
283	25966	4.960	C2CD2	measured	up	3.162
283	1066	4.697	CES1	imputed	up	1.766
283	5018	-4.360	OXA1L	measured	down	1.896
283	8869	4.753	ST3GAL5	measured	up	2.708
283	7018	7.282	TF	imputed	up	8.671
291	79902	-4.143	NUP85	measured	down	1.475
308	55256	-5.154	ADI1	measured	down	3.603
308	1066	6.295	CES1	imputed	up	5.700
308	4118	4.842	MAL	imputed	up	2.079
308	57192	5.927	MCOLN1	measured	up	5.520
308	23635	4.357	SSBP2	measured	up	1.890
308	7018	4.945	TF	imputed	up	2.306
310	9738	5.188	CCP110	measured	up	3.682
310	1465	5.429	CSRP1	measured	up	4.256
310	79961	5.292	DENND2D	measured	up	3.927
310	1917	-8.509	EEF1A2	imputed	down	12.944
310	1950	6.343	EGF	measured	up	6.657
310	9270	-5.213	ITGB1BP1	measured	down	3.741
310	54442	5.836	KCTD5	measured	up	5.282
310	4118	5.632	MAL	imputed	up	3.937
310	4331	6.437	MNAT1	measured	up	6.924
310	5058	5.705	PAK1	measured	up	4.944
310	22827	-4.130	PUF60	measured	down	1.450
310	6192	-5.154	RPS4Y1	imputed	down	2.781
326	133	-5.644	ADM	imputed	down	3.967
326	4817	-4.513	NIT1	measured	down	2.204
326	5331	4.297	PLCB3	measured	up	1.771
326	6832	-4.311	SUPV3L1	measured	down	1.799
326	57761	-4.554	TRIB3	measured	down	2.288
328	4208	5.270	MEF2C	measured	up	3.875
328	5331	5.482	PLCB3	measured	up	4.386
329	5373	-4.413	PMM2	measured	down	2.001
332	55256	-4.987	ADI1	measured	down	3.222
332	23200	-4.179	ATP11B	measured	down	1.543
332	54442	6.645	KCTD5	measured	up	7.528
332	57215	4.441	THAP11	measured	up	2.058
335	7358	-4.250	UGDH	measured	down	1.680
345	23536	4.256	ADAT1	measured	up	1.691
345	10409	-7.240	BASP1	imputed	down	8.536
345	23368	4.492	PPP1R13B	measured	up	2.161
345	5985	4.091	RFC5	measured	up	1.377
345	23635	4.218	SSBP2	measured	up	1.618
345	55620	4.178	STAP2	measured	up	1.541
345	51465	5.887	UBE2J1	measured	up	5.415
345	7358	-4.308	UGDH	measured	down	1.793
353	991	-5.799	CDC20	measured	down	5.185
353	55748	-4.287	CNDP2	measured	down	1.752
353	9988	4.118	DMTF1	measured	up	1.427
353	1917	-4.906	EEF1A2	imputed	down	2.220
353	55699	-6.030	IARS2	measured	down	5.795
353	8821	4.496	INPP4B	measured	up	2.169
353	23210	-4.844	JMJD6	measured	down	2.905
353	9851	4.253	KIAA0753	measured	up	1.686
353	3815	4.706	KIT	measured	up	2.607
353	8140	-5.323	SLC7A5	imputed	down	3.179
353	26520	-4.106	TIMM9	measured	down	1.405
355	10057	8.055	ABCC5	measured	up	12.109
355	533	-4.066	ATP6V0B	measured	down	1.330
355	22794	4.551	CASC3	measured	up	2.282
355	80347	-4.377	COASY	measured	down	1.929
355	54205	-4.249	CYCS	measured	down	1.678
355	11072	4.186	DUSP14	measured	up	1.556
355	256364	4.436	EML3	measured	up	2.048
355	23131	5.681	GPATCH8	measured	up	4.883
355	8520	-4.187	HAT1	measured	down	1.558
355	3108	5.407	HLA-DMA	measured	up	4.203
355	8821	4.285	INPP4B	measured	up	1.748
355	54442	4.758	KCTD5	measured	up	2.718
355	4208	5.231	MEF2C	measured	up	3.783
355	9688	-5.855	NUP93	measured	down	5.331
355	5331	5.741	PLCB3	measured	up	5.036
355	387	5.514	RHOA	measured	up	4.465
355	6184	-4.929	RPN1	measured	down	3.092
355	6714	4.118	SRC	measured	up	1.427
355	7099	4.300	TLR4	measured	up	1.777
355	7105	4.155	TSPAN6	measured	up	1.497
355	23326	-4.563	USP22	measured	down	2.307
375	133	-6.194	ADM	imputed	down	5.420
375	347902	-4.474	AMIGO2	imputed	down	1.303
382	3251	-4.073	HPRT1	measured	down	1.343
382	9903	4.167	KLHL21	measured	up	1.520
382	6192	-7.778	RPS4Y1	imputed	down	10.320
384	23131	4.444	GPATCH8	measured	up	2.064
384	23335	6.360	WDR7	measured	up	6.705
387	154	5.749	ADRB2	measured	up	5.057
387	1001	5.117	CDH3	measured	up	3.518
387	1666	-4.581	DECR1	measured	down	2.344
387	9988	5.289	DMTF1	measured	up	3.920
387	2109	-4.792	ETFB	measured	down	2.792
387	23210	-4.985	JMJD6	measured	down	3.218
387	57192	4.084	MCOLN1	measured	up	1.364
387	4282	-5.125	MIF	measured	down	3.536
387	5018	-5.945	OXA1L	measured	down	5.568
387	5529	-5.668	PPP2R5E	measured	down	4.850
387	6192	-5.029	RPS4Y1	imputed	down	2.495
387	23378	7.909	RRP8	measured	up	11.596
387	8835	4.543	SOCS2	measured	up	2.266
390	2920	4.950	CXCL2	measured	up	3.139
390	3956	-4.836	LGALS1	imputed	down	2.066
390	6192	-4.544	RPS4Y1	imputed	down	1.446
405	8974	4.662	P4HA2	measured	up	2.514
406	211	-5.843	ALAS1	measured	down	5.300
406	54504	5.272	CPVL	imputed	up	3.058
406	4313	-4.067	MMP2	measured	down	1.332
406	11044	-5.625	PAPD7	measured	down	4.741
406	9842	-4.066	PLEKHM1	measured	down	1.330
406	5373	-4.366	PMM2	measured	down	1.907
406	23212	5.211	RRS1	measured	up	3.736
406	6461	-5.659	SHB	measured	down	4.827
406	51375	-6.162	SNX7	measured	down	6.153
406	55148	4.504	UBR7	measured	up	2.186
408	25825	4.195	BACE2	measured	up	1.574
408	25966	5.194	C2CD2	measured	up	3.696
408	5529	-4.660	PPP2R5E	measured	down	2.510
408	23378	4.144	RRP8	measured	up	1.477
427	55256	-4.889	ADI1	measured	down	3.004
427	8900	4.523	CCNA1	measured	up	2.225
427	2878	5.106	GPX3	imputed	up	2.671
427	5018	-4.484	OXA1L	measured	down	2.145
427	5438	-4.250	POLR2I	measured	down	1.680
427	6273	4.703	S100A2	imputed	up	1.779
427	8884	-4.185	SLC5A6	measured	down	1.555
427	7088	-4.288	TLE1	measured	down	1.754
427	7503	6.540	XIST	imputed	up	6.399
430	976	4.310	ADGRE5	measured	up	1.797
430	9289	4.916	ADGRG1	measured	up	3.064
430	9854	4.989	C2CD2L	measured	up	3.227
430	8900	5.403	CCNA1	measured	up	4.193
430	51293	-6.361	CD320	measured	down	6.708
430	1026	4.527	CDKN1A	measured	up	2.233
430	1514	-4.580	CTSL	measured	down	2.342
430	2274	6.178	FHL2	measured	up	6.197
430	8061	-5.238	FOSL1	measured	down	3.799
430	55008	4.199	HERC6	measured	up	1.581
430	3682	-4.090	ITGAE	measured	down	1.375
430	23338	-4.826	JADE2	measured	down	2.866
430	3988	-4.477	LIPA	measured	down	2.131
430	4016	12.117	LOXL1	measured	up	30.076
430	4638	8.967	MYLK	measured	up	15.526
430	5366	4.103	PMAIP1	measured	up	1.399
430	5468	-4.274	PPARG	measured	down	1.726
430	5696	5.206	PSMB8	measured	up	3.724
430	5997	-4.529	RGS2	measured	down	2.237
430	6284	5.435	S100A13	measured	up	4.271
430	6275	8.046	S100A4	measured	up	12.077
430	9467	4.467	SH3BP5	measured	up	2.110
430	7106	-4.584	TSPAN4	measured	down	2.351
430	10190	-4.497	TXNDC9	measured	down	2.171
430	7431	-4.890	VIM	imputed	down	2.184
430	7466	5.476	WFS1	measured	up	4.371
433	9709	5.880	HERPUD1	measured	up	5.397
433	4925	4.443	NUCB2	measured	up	2.062
433	5018	-4.117	OXA1L	measured	down	1.426
439	54504	5.664	CPVL	imputed	up	4.018
439	4931	-4.181	NVL	measured	down	1.547
439	5529	-4.075	PPP2R5E	measured	down	1.347
439	55893	-4.477	ZNF395	measured	down	2.131
440	154	4.530	ADRB2	measured	up	2.239
440	79850	-4.341	FAM57A	measured	down	1.858
440	56889	-4.339	TM9SF3	measured	down	1.854
440	7503	4.737	XIST	imputed	up	1.852
445	9133	-4.084	CCNB2	measured	down	1.364
466	4118	5.886	MAL	imputed	up	4.591
466	8140	-6.280	SLC7A5	imputed	down	5.658
467	9709	-5.407	HERPUD1	measured	down	4.203
467	51056	-4.802	LAP3	measured	down	2.814
468	991	-5.307	CDC20	measured	down	3.963
468	54504	5.420	CPVL	imputed	up	3.413
468	1396	4.660	CRIP1	imputed	up	1.688
468	54541	4.622	DDIT4	measured	up	2.430
468	1978	4.380	EIF4EBP1	measured	up	1.935
468	9670	-5.711	IPO13	measured	down	4.959
468	10797	5.608	MTHFD2	measured	up	4.699
468	26227	6.917	PHGDH	measured	up	8.346
471	51382	-6.132	ATP6V1D	measured	down	6.071
